Craniotomy codes
"0NT30ZZ","Resection of Right Parietal Bone, Open Approach"
"00K70ZZ","Map Cerebral Hemisphere, Open Approach"
"0N804ZZ","Division of Skull, Percutaneous Endoscopic Approach"
"0N540ZZ","Destruction of Left Parietal Bone, Open Approach"
"0WH143Z","Insertion of Infusion Device into Cranial Cavity, Percutaneous Endoscopic Approach"
"00Q20ZZ","Repair Dura Mater, Open Approach"
"00Q94ZZ","Repair Thalamus, Percutaneous Endoscopic Approach"
"00B03ZZ","Excision of Brain, Percutaneous Approach"
"00C90ZZ","Extirpation of Matter from Thalamus, Open Approach"
"4A007RD","Measurement of Intracranial Saturation, Via Natural or Artificial Opening"
"00803ZZ","Division of Brain, Percutaneous Approach"
"0NQ0XZZ","Repair Skull, External Approach"
"0NS035Z","Reposition Skull with External Fixation Device, Percutaneous Approach"
"0NC30ZZ","Extirpation of Matter from Right Parietal Bone, Open Approach"
"0NC34ZZ","Extirpation of Matter from Right Parietal Bone, Percutaneous Endoscopic Approach"
"00984ZZ","Drainage of Basal Ganglia, Percutaneous Endoscopic Approach"
"00C84ZZ","Extirpation of Matter from Basal Ganglia, Percutaneous Endoscopic Approach"
"00B93ZZ","Excision of Thalamus, Percutaneous Approach"
"0N533ZZ","Destruction of Right Parietal Bone, Percutaneous Approach"
"0N534ZZ","Destruction of Right Parietal Bone, Percutaneous Endoscopic Approach"
"0N570ZZ","Destruction of Occipital Bone, Open Approach"
"0N574ZZ","Destruction of Occipital Bone, Percutaneous Endoscopic Approach"
"4A103BD","Monitoring of Intracranial Pressure, Percutaneous Approach"
"4A107RD","Monitoring of Intracranial Saturation, Via Natural or Artificial Opening"
"00K04ZZ","Map Brain, Percutaneous Endoscopic Approach"
"00K73ZZ","Map Cerebral Hemisphere, Percutaneous Approach"
"00KB3ZZ","Map Pons, Percutaneous Approach"
"00KC4ZZ","Map Cerebellum, Percutaneous Endoscopic Approach"
"00N93ZZ","Release Thalamus, Percutaneous Approach"
"00N94ZZ","Release Thalamus, Percutaneous Endoscopic Approach"
"00J03ZZ","Inspection of Brain, Percutaneous Approach"
"0NJ04ZZ","Inspection of Skull, Percutaneous Endoscopic Approach"
"00T73ZZ","Resection of Cerebral Hemisphere, Percutaneous Approach"
"009900Z","Drainage of Thalamus with Drainage Device, Open Approach"
"00Q23ZZ","Repair Dura Mater, Percutaneous Approach"
"00Q93ZZ","Repair Thalamus, Percutaneous Approach"
"00D10ZZ","Extraction of Cerebral Meninges, Open Approach"
"00Q00ZZ","Repair Brain, Open Approach"
"00Q03ZZ","Repair Brain, Percutaneous Approach"
"0NC64ZZ","Extirpation of Matter from Left Temporal Bone, Percutaneous Endoscopic Approach"
"00510ZZ","Destruction of Cerebral Meninges, Open Approach"
"00514ZZ","Destruction of Cerebral Meninges, Percutaneous Endoscopic Approach"
"4A007BD","Measurement of Intracranial Pressure, Via Natural or Artificial Opening"
"00800ZZ","Division of Brain, Open Approach"
"0NS004Z","Reposition Skull with Internal Fixation Device, Open Approach"
"0NS03ZZ","Reposition Skull, Percutaneous Approach"
"00C80ZZ","Extirpation of Matter from Basal Ganglia, Open Approach"
"00943ZZ","Drainage of Intracranial Subdural Space, Percutaneous Approach"
"009630Z","Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Approach"
"00963ZZ","Drainage of Cerebral Ventricle, Percutaneous Approach"
"00964ZZ","Drainage of Cerebral Ventricle, Percutaneous Endoscopic Approach"
"00C14ZZ","Extirpation of Matter from Cerebral Meninges, Percutaneous Endoscopic Approach"
"00924ZZ","Drainage of Dura Mater, Percutaneous Endoscopic Approach"
"00B90ZZ","Excision of Thalamus, Open Approach"
"00B94ZZ","Excision of Thalamus, Percutaneous Endoscopic Approach"
"4A103KD","Monitoring of Intracranial Temperature, Percutaneous Approach"
"4A103RD","Monitoring of Intracranial Saturation, Percutaneous Approach"
"00KC0ZZ","Map Cerebellum, Open Approach"
"0N800ZZ","Division of Skull, Open Approach"
"00H033Z","Insertion of Infusion Device into Brain, Percutaneous Approach"
"0WJ14ZZ","Inspection of Cranial Cavity, Percutaneous Endoscopic Approach"
"0WH103Z","Insertion of Infusion Device into Cranial Cavity, Open Approach"
"009940Z","Drainage of Thalamus with Drainage Device, Percutaneous Endoscopic Approach"
"0NT10ZZ","Resection of Frontal Bone, Open Approach"
"00B70ZZ","Excision of Cerebral Hemisphere, Open Approach"
"00560ZZ","Destruction of Cerebral Ventricle, Open Approach"
"00883ZZ","Division of Basal Ganglia, Percutaneous Approach"
"0NS005Z","Reposition Skull with External Fixation Device, Open Approach"
"0NC33ZZ","Extirpation of Matter from Right Parietal Bone, Percutaneous Approach"
"0NC53ZZ","Extirpation of Matter from Right Temporal Bone, Percutaneous Approach"
"0NC13ZZ","Extirpation of Matter from Frontal Bone, Percutaneous Approach"
"0NC14ZZ","Extirpation of Matter from Frontal Bone, Percutaneous Endoscopic Approach"
"009430Z","Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Approach"
"00910ZZ","Drainage of Cerebral Meninges, Open Approach"
"009130Z","Drainage of Cerebral Meninges with Drainage Device, Percutaneous Approach"
"009140Z","Drainage of Cerebral Meninges with Drainage Device, Percutaneous Endoscopic Approach"
"009230Z","Drainage of Dura Mater with Drainage Device, Percutaneous Approach"
"009240Z","Drainage of Dura Mater with Drainage Device, Percutaneous Endoscopic Approach"
"0N553ZZ","Destruction of Right Temporal Bone, Percutaneous Approach"
"0N554ZZ","Destruction of Right Temporal Bone, Percutaneous Endoscopic Approach"
"00K74ZZ","Map Cerebral Hemisphere, Percutaneous Endoscopic Approach"
"00KB4ZZ","Map Pons, Percutaneous Endoscopic Approach"
"00KD3ZZ","Map Medulla Oblongata, Percutaneous Approach"
"0N520ZZ","Destruction of Left Frontal Bone, Open Approach"
"0N523ZZ","Destruction of Left Frontal Bone, Percutaneous Approach"
"0N583ZZ","Destruction of Left Occipital Bone, Percutaneous Approach"
"00J04ZZ","Inspection of Brain, Percutaneous Endoscopic Approach"
"0NJ00ZZ","Inspection of Skull, Open Approach"
"009930Z","Drainage of Thalamus with Drainage Device, Percutaneous Approach"
"0N900ZZ","Drainage of Skull, Open Approach"
"0N904ZZ","Drainage of Skull, Percutaneous Endoscopic Approach"
"00B73ZZ","Excision of Cerebral Hemisphere, Percutaneous Approach"
"00B14ZZ","Excision of Cerebral Meninges, Percutaneous Endoscopic Approach"
"00D13ZZ","Extraction of Cerebral Meninges, Percutaneous Approach"
"00D14ZZ","Extraction of Cerebral Meninges, Percutaneous Endoscopic Approach"
"0NC63ZZ","Extirpation of Matter from Left Temporal Bone, Percutaneous Approach"
"00500ZZ","Destruction of Brain, Open Approach"
"00580ZZ","Destruction of Basal Ganglia, Open Approach"
"00583ZZ","Destruction of Basal Ganglia, Percutaneous Approach"
"4A003BD","Measurement of Intracranial Pressure, Percutaneous Approach"
"00804ZZ","Division of Brain, Percutaneous Endoscopic Approach"
"0NS044Z","Reposition Skull with Internal Fixation Device, Percutaneous Endoscopic Approach"
"0WP1X3Z","Removal of Infusion Device from Cranial Cavity, External Approach"
"009440Z","Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Endoscopic Approach"
"009800Z","Drainage of Basal Ganglia with Drainage Device, Open Approach"
"009840Z","Drainage of Basal Ganglia with Drainage Device, Percutaneous Endoscopic Approach"
"009100Z","Drainage of Cerebral Meninges with Drainage Device, Open Approach"
"0N500ZZ","Destruction of Skull, Open Approach"
"0N504ZZ","Destruction of Skull, Percutaneous Endoscopic Approach"
"0N530ZZ","Destruction of Right Parietal Bone, Open Approach"
"0NB00ZZ","Excision of Skull, Open Approach"
"0NB03ZZ","Excision of Skull, Percutaneous Approach"
"0N524ZZ","Destruction of Left Frontal Bone, Percutaneous Endoscopic Approach"
"0N580ZZ","Destruction of Left Occipital Bone, Open Approach"
"0N584ZZ","Destruction of Left Occipital Bone, Percutaneous Endoscopic Approach"
"00J00ZZ","Inspection of Brain, Open Approach"
"0NJ03ZZ","Inspection of Skull, Percutaneous Approach"
"0N9000Z","Drainage of Skull with Drainage Device, Open Approach"
"00B74ZZ","Excision of Cerebral Hemisphere, Percutaneous Endoscopic Approach"
"00Q04ZZ","Repair Brain, Percutaneous Endoscopic Approach"
"0NC60ZZ","Extirpation of Matter from Left Temporal Bone, Open Approach"
"00503ZZ","Destruction of Brain, Percutaneous Approach"
"00563ZZ","Destruction of Cerebral Ventricle, Percutaneous Approach"
"4A003KD","Measurement of Intracranial Temperature, Percutaneous Approach"
"4A007KD","Measurement of Intracranial Temperature, Via Natural or Artificial Opening"
"0NC40ZZ","Extirpation of Matter from Left Parietal Bone, Open Approach"
"00870ZZ","Division of Cerebral Hemisphere, Open Approach"
"00873ZZ","Division of Cerebral Hemisphere, Percutaneous Approach"
"0NS04ZZ","Reposition Skull, Percutaneous Endoscopic Approach"
"0WP133Z","Removal of Infusion Device from Cranial Cavity, Percutaneous Approach"

Gastrostomy codes
code,description
"0DH68UZ","Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening Endoscopic"
"0DH60UZ","Insertion of Feeding Device into Stomach, Open Approach"
"0DH63UZ","Insertion of Feeding Device into Stomach, Percutaneous Approach"
"0DH64UZ","Insertion of Feeding Device into Stomach, Percutaneous Endoscopic Approach"

Tracheostomy codes
code,description
"0B113F4","Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach"
"0B114F4","Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach"
"0B113Z4","Bypass Trachea to Cutaneous, Percutaneous Approach"
"0B114Z4","Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach"
"0B110F4","Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach"
"0B110Z4","Bypass Trachea to Cutaneous, Open Approach"

