"variable","level","overall","minority=White","minority=Minority","p_value","missing","type","note"
"ais_head","","4.42 (0.90); median 5.00 [1.00]; range 2.00–9.00","4.43 (0.89); median 5.00 [1.00]; range 2.00–9.00","4.40 (0.90); median 5.00 [1.00]; range 2.00–9.00","<0.001","0","continuous",""
"ais_nonhead","","0.90 (0.85); median 1.00 [2.00]; range 0.00–2.00","0.90 (0.85); median 1.00 [2.00]; range 0.00–2.00","0.89 (0.86); median 1.00 [2.00]; range 0.00–2.00","0.273","0","continuous",""
"year","","2020.68 (1.70); median 2021.00 [3.00]; range 2018.00–2023.00","2020.65 (1.71); median 2021.00 [3.00]; range 2018.00–2023.00","2020.73 (1.69); median 2021.00 [3.00]; range 2018.00–2023.00","<0.001","0","continuous",""
"sex","","","","","<0.001","0","categorical",""
"sex","Male","23709 (74.1%)","15928 (72.5%)","7781 (77.7%)","","","categorical_level",""
"sex","Female","8281 (25.9%)","6046 (27.5%)","2235 (22.3%)","","","categorical_level",""
"verificationlevel","","","","","<0.001","0","categorical",""
"verificationlevel","1","22955 (71.8%)","15408 (70.1%)","7547 (75.3%)","","","categorical_level",""
"verificationlevel","2","8832 (27.6%)","6412 (29.2%)","2420 (24.2%)","","","categorical_level",""
"verificationlevel","3","203 (0.6%)","154 (0.7%)","49 (0.5%)","","","categorical_level",""
"teachingstatus","","","","","<0.001","0","categorical",""
"teachingstatus","1","18380 (57.5%)","12235 (55.7%)","6145 (61.4%)","","","categorical_level",""
"teachingstatus","0","13610 (42.5%)","9739 (44.3%)","3871 (38.6%)","","","categorical_level",""
"hospdischargedisposition","","","","","<0.001","44","categorical",""
"hospdischargedisposition","11","7990 (25.0%)","5578 (25.4%)","2412 (24.1%)","","","categorical_level",""
"hospdischargedisposition","5","7060 (22.1%)","5054 (23.0%)","2006 (20.0%)","","","categorical_level",""
"hospdischargedisposition","6","6199 (19.4%)","3918 (17.8%)","2281 (22.8%)","","","categorical_level",""
"hospdischargedisposition","7","3802 (11.9%)","2652 (12.1%)","1150 (11.5%)","","","categorical_level",""
"hospdischargedisposition","12","1980 (6.2%)","1340 (6.1%)","640 (6.4%)","","","categorical_level",""
"hospdischargedisposition","3","1796 (5.6%)","1236 (5.6%)","560 (5.6%)","","","categorical_level",""
"hospdischargedisposition","8","1408 (4.4%)","1122 (5.1%)","286 (2.9%)","","","categorical_level",""
"hospdischargedisposition","1","720 (2.3%)","426 (1.9%)","294 (2.9%)","","","categorical_level",""
"hospdischargedisposition","4","294 (0.9%)","194 (0.9%)","100 (1.0%)","","","categorical_level",""
"hospdischargedisposition","14","256 (0.8%)","148 (0.7%)","108 (1.1%)","","","categorical_level",""
"hospdischargedisposition","2","184 (0.6%)","117 (0.5%)","67 (0.7%)","","","categorical_level",""
"hospdischargedisposition","13","162 (0.5%)","120 (0.5%)","42 (0.4%)","","","categorical_level",""
"hospdischargedisposition","10","95 (0.3%)","42 (0.2%)","53 (0.5%)","","","categorical_level",""
"icpparench","","","","","<0.001","0","categorical",""
"icpparench","No","24158 (75.5%)","16758 (76.3%)","7400 (73.9%)","","","categorical_level",""
"icpparench","Yes","7832 (24.5%)","5216 (23.7%)","2616 (26.1%)","","","categorical_level",""
"icpevdrain","","","","","0.017","0","categorical",""
"icpevdrain","No","21673 (67.7%)","14980 (68.2%)","6693 (66.8%)","","","categorical_level",""
"icpevdrain","Yes","10317 (32.3%)","6994 (31.8%)","3323 (33.2%)","","","categorical_level",""
"icd_procedures","","","","","0.002","0","categorical","shown top 30 + Other"
"icd_procedures","009430Z; BW28ZZZ","166 (0.5%)","124 (0.6%)","42 (0.4%)","","","categorical_level",""
"icd_procedures","009430Z","88 (0.3%)","74 (0.3%)","14 (0.1%)","","","categorical_level",""
"icd_procedures","BW28ZZZ; 009430Z","59 (0.2%)","47 (0.2%)","12 (0.1%)","","","categorical_level",""
"icd_procedures","00943ZZ; BW28ZZZ","42 (0.1%)","35 (0.2%)","7 (0.1%)","","","categorical_level",""
"icd_procedures","009430Z; BR20ZZZ; BW28ZZZ","39 (0.1%)","32 (0.1%)","7 (0.1%)","","","categorical_level",""
"icd_procedures","009430Z; 00C43ZZ; BW28ZZZ","20 (0.1%)","13 (0.1%)","7 (0.1%)","","","categorical_level",""
"icd_procedures","009630Z","20 (0.1%)","16 (0.1%)","4 (0.0%)","","","categorical_level",""
"icd_procedures","00C40ZZ; 0N800ZZ; BW28ZZZ","20 (0.1%)","15 (0.1%)","5 (0.0%)","","","categorical_level",""
"icd_procedures","00943ZZ","16 (0.1%)","13 (0.1%)","3 (0.0%)","","","categorical_level",""
"icd_procedures","00C40ZZ; 00J00ZZ; BW28ZZZ","16 (0.1%)","9 (0.0%)","7 (0.1%)","","","categorical_level",""
"icd_procedures","009430Z; 30233R1; BW28ZZZ","14 (0.0%)","10 (0.0%)","4 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; BW03ZZZ; BW28ZZZ","14 (0.0%)","14 (0.1%)","0 (0.0%)","","","categorical_level",""
"icd_procedures","BW28ZZZ; 00943ZZ","13 (0.0%)","12 (0.1%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 00C40ZZ; BW28ZZZ","12 (0.0%)","7 (0.0%)","5 (0.0%)","","","categorical_level",""
"icd_procedures","00943ZZ; BR20ZZZ; BW28ZZZ","9 (0.0%)","8 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","00C40ZZ; 0WJ10ZZ; BW28ZZZ","9 (0.0%)","8 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","009440Z; BW28ZZZ","8 (0.0%)","7 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 009430Z; BW28ZZZ","7 (0.0%)","5 (0.0%)","2 (0.0%)","","","categorical_level",""
"icd_procedures","009630Z; BW28ZZZ","7 (0.0%)","6 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 00C40ZZ","6 (0.0%)","5 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 03LG3DZ","6 (0.0%)","6 (0.0%)","0 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 03LG3DZ; BW28ZZZ","6 (0.0%)","6 (0.0%)","0 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; B020ZZZ","6 (0.0%)","3 (0.0%)","3 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; BN25ZZZ; BR20ZZZ; BW28ZZZ","6 (0.0%)","4 (0.0%)","2 (0.0%)","","","categorical_level",""
"icd_procedures","009630Z; 00C40ZZ","6 (0.0%)","5 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","00C40ZZ; 0NQ0XZZ; BW28ZZZ","6 (0.0%)","4 (0.0%)","2 (0.0%)","","","categorical_level",""
"icd_procedures","0N800ZZ; 00C40ZZ","6 (0.0%)","2 (0.0%)","4 (0.0%)","","","categorical_level",""
"icd_procedures","00940ZZ; 00J00ZZ; BW28ZZZ","5 (0.0%)","2 (0.0%)","3 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 00C40ZZ; BR20ZZZ; BW28ZZZ","5 (0.0%)","3 (0.0%)","2 (0.0%)","","","categorical_level",""
"icd_procedures","009430Z; 4A02X4Z; BR20ZZZ; BW03ZZZ; BW28ZZZ","5 (0.0%)","4 (0.0%)","1 (0.0%)","","","categorical_level",""
"icd_procedures","Other","31348 (98.0%)","21475 (97.7%)","9873 (98.6%)","","","categorical_level",""
"icd_diagnoses","","","","","<0.001","0","categorical","shown top 30 + Other"
"icd_diagnoses","S06.5X0A","1940 (6.1%)","1432 (6.5%)","508 (5.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A","1517 (4.7%)","1023 (4.7%)","494 (4.9%)","","","categorical_level",""
"icd_diagnoses","S06.5XAA","223 (0.7%)","163 (0.7%)","60 (0.6%)","","","categorical_level",""
"icd_diagnoses","S06.1X0A; S06.5X0A","151 (0.5%)","97 (0.4%)","54 (0.5%)","","","categorical_level",""
"icd_diagnoses","S06.5X1A","111 (0.3%)","79 (0.4%)","32 (0.3%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.6X0A","94 (0.3%)","67 (0.3%)","27 (0.3%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.6X9A","84 (0.3%)","64 (0.3%)","20 (0.2%)","","","categorical_level",""
"icd_diagnoses","S06.1X9A; S06.5X9A","78 (0.2%)","49 (0.2%)","29 (0.3%)","","","categorical_level",""
"icd_diagnoses","S00.03XA; S06.5X9A","74 (0.2%)","53 (0.2%)","21 (0.2%)","","","categorical_level",""
"icd_diagnoses","S06.389A; S06.5X9A","72 (0.2%)","44 (0.2%)","28 (0.3%)","","","categorical_level",""
"icd_diagnoses","S00.03XA; S06.5X0A","64 (0.2%)","46 (0.2%)","18 (0.2%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.A0XA","59 (0.2%)","44 (0.2%)","15 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.A1XA","58 (0.2%)","45 (0.2%)","13 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.5X0A","54 (0.2%)","41 (0.2%)","13 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.890A","54 (0.2%)","39 (0.2%)","15 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X7A","50 (0.2%)","31 (0.1%)","19 (0.2%)","","","categorical_level",""
"icd_diagnoses","S06.6X9A","50 (0.2%)","37 (0.2%)","13 (0.1%)","","","categorical_level",""
"icd_diagnoses","S01.01XA; S06.5X0A","43 (0.1%)","33 (0.2%)","10 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.A1XA","41 (0.1%)","34 (0.2%)","7 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.5X9A","39 (0.1%)","32 (0.1%)","7 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; Z20.828","36 (0.1%)","24 (0.1%)","12 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5XAA; S06.A1XA","35 (0.1%)","19 (0.1%)","16 (0.2%)","","","categorical_level",""
"icd_diagnoses","S06.5X0A; S06.1X0A","34 (0.1%)","19 (0.1%)","15 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.899A","34 (0.1%)","23 (0.1%)","11 (0.1%)","","","categorical_level",""
"icd_diagnoses","S01.01XA; S06.5X9A","32 (0.1%)","23 (0.1%)","9 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.A0XA","27 (0.1%)","20 (0.1%)","7 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; Z20.828","27 (0.1%)","16 (0.1%)","11 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5XAA; S06.A0XA","27 (0.1%)","23 (0.1%)","4 (0.0%)","","","categorical_level",""
"icd_diagnoses","S00.83XA; S06.5X9A","26 (0.1%)","17 (0.1%)","9 (0.1%)","","","categorical_level",""
"icd_diagnoses","S06.5X9A; S06.1X9A","26 (0.1%)","15 (0.1%)","11 (0.1%)","","","categorical_level",""
"icd_diagnoses","Other","26830 (83.9%)","18322 (83.4%)","8508 (84.9%)","","","categorical_level",""
"ich_category","","","","","<0.001","0","categorical",""
"ich_category",">=2 concomitant ICHs","19982 (62.5%)","13476 (61.3%)","6506 (65.0%)","","","categorical_level",""
"ich_category","isolated SDH","9380 (29.3%)","6769 (30.8%)","2611 (26.1%)","","","categorical_level",""
"ich_category","isolated IPH","1150 (3.6%)","727 (3.3%)","423 (4.2%)","","","categorical_level",""
"ich_category","isolated SAH","777 (2.4%)","512 (2.3%)","265 (2.6%)","","","categorical_level",""
"ich_category","isolated EDH","418 (1.3%)","288 (1.3%)","130 (1.3%)","","","categorical_level",""
"ich_category","other/unspecified ICH","283 (0.9%)","202 (0.9%)","81 (0.8%)","","","categorical_level",""
"withdrawallst","","","","","<0.001","31","categorical",""
"withdrawallst","No","26472 (82.8%)","17736 (80.7%)","8736 (87.2%)","","","categorical_level",""
"withdrawallst","Yes","5487 (17.2%)","4210 (19.2%)","1277 (12.7%)","","","categorical_level",""
"statedesignation","","","","","<0.001","0","categorical",""
"statedesignation","1","22165 (69.3%)","14930 (67.9%)","7235 (72.2%)","","","categorical_level",""
"statedesignation","2","8723 (27.3%)","6203 (28.2%)","2520 (25.2%)","","","categorical_level",""
"statedesignation","7","674 (2.1%)","513 (2.3%)","161 (1.6%)","","","categorical_level",""
"statedesignation","3","413 (1.3%)","313 (1.4%)","100 (1.0%)","","","categorical_level",""
"statedesignation","6","8 (0.0%)","8 (0.0%)","0 (0.0%)","","","categorical_level",""
"statedesignation","4","7 (0.0%)","7 (0.0%)","0 (0.0%)","","","categorical_level",""
"tbimidlineshift","","","","","0.026","0","categorical",""
"tbimidlineshift","Yes","16712 (52.2%)","11572 (52.7%)","5140 (51.3%)","","","categorical_level",""
"tbimidlineshift","No","15278 (47.8%)","10402 (47.3%)","4876 (48.7%)","","","categorical_level",""
"trach","","","","","<0.001","0","categorical",""
"trach","No","25975 (81.2%)","18220 (82.9%)","7755 (77.4%)","","","categorical_level",""
"trach","Yes","6015 (18.8%)","3754 (17.1%)","2261 (22.6%)","","","categorical_level",""
"gastro","","","","","<0.001","0","categorical",""
"gastro","No","25838 (80.8%)","18103 (82.4%)","7735 (77.2%)","","","categorical_level",""
"gastro","Yes","6152 (19.2%)","3871 (17.6%)","2281 (22.8%)","","","categorical_level",""
"gcs_cat","","","","","<0.001","0","categorical",""
"gcs_cat","Mild","14799 (46.3%)","10482 (47.7%)","4317 (43.1%)","","","categorical_level",""
"gcs_cat","Severe","13814 (43.2%)","9293 (42.3%)","4521 (45.1%)","","","categorical_level",""
"gcs_cat","Moderate","3377 (10.6%)","2199 (10.0%)","1178 (11.8%)","","","categorical_level",""
